Year,Coal,Petroleum,Gas,Nuclear,Hydroelectric,Biomass,Geothermal,"Solar, All Sectors","Wind, All Sectors",Total - All Sectors,,,
1949,135451.32,28547.232,36966.709,0,94772.992,386.036,0,0,0,296124.289,,,
1950,154519.994,33734.288,44559.159,0,100884.575,389.585,0,0,0,334087.601,,,
1951,185203.657,28712.116,56615.678,0,104376.12,390.784,0,0,0,375298.355,,,
1952,195436.666,29749.761,68453.088,0,109708.251,481.647,0,0,0,403829.413,,,
1953,218846.325,38404.449,79790.975,0,109617.396,389.418,0,0,0,447048.563,,,
1954,239145.966,31520.175,93688.271,0,111639.772,263.434,0,0,0,476257.618,,,
1955,301362.698,37138.308,95285.441,0,116235.946,276.469,0,0,0,550298.862,,,
1956,338503.484,35946.772,104037.208,0,125236.621,151.678,0,0,0,603875.763,,,
1957,346386.207,40499.357,114212.525,9.67,133357.93,176.678,0,0,0,634642.367,,,
1958,344365.781,40371.54,119759.302,164.691,143614.545,175.003,0,0,0,648450.862,,,
1959,378424.21,46839.719,146619.391,188.101,141154.533,152.877,0,0,0,713378.831,,,
1960,403067.357,47986.893,157969.787,518.182,149440.035,140.166,33.368,0,0,759155.788,,,
1961,421870.669,48519.376,169285.998,1692.149,155536.444,125.734,94.021,0,0,797124.391,,,
1962,450249.238,48879.536,184301.293,2269.685,172015.646,127.796,100.462,0,0,857943.656,,,
1963,493926.719,52001.61,201602.073,3211.836,168990.14,127.94,167.953,0,0,920028.271,,,
1964,526230.019,56953.712,220038.479,3342.743,180301.506,148.076,203.791,0,0,987218.326,,,
1965,570925.951,64801.224,221559.434,3656.699,196984.345,268.804,189.214,0,0,1058385.671,,,
1966,613474.8,78926.172,251151.562,5519.909,197937.538,333.926,187.988,0,0,1147531.895,,,
1967,630483.363,89270.724,264805.785,7655.214,224948.605,315.688,316.309,0,0,1217795.688,,,
1968,684904.58,104275.833,304432.723,12528.419,225873.158,375.062,435.826,0,0,1332825.601,,,
1969,706001.24,137847.152,333278.945,13927.839,253468.237,319.933,614.71,0,0,1445458.056,,,
1970,704394.479,184183.402,372890.063,21804.448,250957.442,356.45,525.183,0,0,1535111.467,775955.679,1.022129702,
1971,713102.454,220225.423,374030.784,38104.545,269531.459,311.199,547.752,0,0,1615853.616,,,
1972,771131.265,274295.961,375747.796,54091.135,275928.828,330.633,1452.795,0,0,1752978.413,,,
1973,847651.47,314342.926,340858.192,83479.463,275430.574,328.293,1965.713,0,0,1864056.632,,,
1974,828432.921,300930.537,320065.088,113975.74,304211.805,250.677,2452.636,0,0,1870319.404,,,
1975,852786.222,289094.9,299778.408,172505.075,303152.673,191.119,3246.172,0,0,1920754.569,,,
1976,944390.993,319988.136,294623.911,191103.531,286924.238,266.464,3616.407,0,0,2040913.681,,,
1977,985218.596,358178.822,305504.859,250883.283,223598.687,480.905,3582.335,0,0,2127447.488,,,
1978,975742.083,365060.441,305390.836,276403.07,283465.224,337.627,2977.63,0,0,2209376.911,,,
1979,1075037.091,303525.209,329485.107,255154.623,283075.976,498.051,3888.968,0,0,2250665.025,,,
1980,1161562.368,245994.189,346239.9,251115.575,279182.09,433.163,5073.079,0,0,2289600.364,0.109676596,0.507321009,
1981,1203203.232,206420.775,345777.173,272673.503,263844.664,367.829,5686.163,0,0,2297973.338,,,
1982,1192004.204,146797.49,305259.749,282773.248,312374.013,320.919,4842.865,0,0,2244372.487,,,
1983,1259424.279,144498.593,274098.458,293677.119,335290.855,378.612,6075.101,0,2.668,2313445.686,,,
1984,1341680.752,119807.913,297393.596,327633.549,324311.365,885.951,7740.504,5.248,6.49,2419465.367,,,
1985,1402128.125,100202.273,291945.965,383690.727,284310.538,1382.872,9325.23,10.63,5.762,2473002.12,,,
1986,1385831.452,136584.867,248508.433,414038.063,294005.219,1176.743,10307.954,14.032,4.189,2490470.952,,,
1987,1463781.289,118492.571,272620.803,455270.382,252856.093,1477.029,10775.461,10.497,3.541,2575287.667,,,
1988,1540652.774,148899.561,252800.704,526973.047,226100.803,1674.244,10300.079,9.094,0.871,2707411.178,,,
1989,1583779.139,164358.52,360491.284,529354.717,271976.936,36399.555,14593.443,250.601,2112.043,2967146.087,,,
1990,1594011.479,126460.202,383147.984,576861.678,289358.105,45782.268,15434.271,367.087,2788.6,3037827.337,0.189892846,0.524720895,0.126125662
1991,1590622.748,119751.573,392888.61,612565.087,284452.754,49390.104,15966.444,471.765,2950.951,3073798.885,,,
1992,1621206.039,100154.163,417344.609,618776.263,248911.421,54344.697,16137.962,399.64,2887.523,3083882.204,,,
1993,1690070.232,112788.18,427882.596,610291.214,276458.436,55956.438,16788.565,462.452,3005.827,3197191.096,,,
1994,1690693.864,105900.983,473537.733,640439.832,256747.908,57065.959,15535.453,486.622,3447.109,3247522.388,,,
1995,1709426.468,74554.065,509927.896,673402.123,308107.617,56926.053,13378.258,496.821,3164.253,3353487.362,,,
1996,1795195.593,81411.225,469411.389,674728.546,344073.985,57711.646,14328.684,521.205,3234.069,3444187.621,,,
1997,1845015.736,92554.873,492749.304,628644.171,352413.39,58657.514,14726.102,511.168,3288.035,3492172.283,,,
1998,1873515.69,128800.173,544749.334,673702.104,318868.381,58786.319,14773.918,502.473,3025.696,3620295.498,,,
1999,1881087.224,118060.838,570521.719,728254.124,313439.13,59612.909,14827.013,495.082,4487.998,3694809.81,,,
2000,1966264.596,111220.965,614992.917,753892.94,270033.737,60726.18,14093.158,493.375,5593.261,3802105.043,0.198283038,0.517151571,0.161750638
2001,1903955.942,124880.221,648168.592,768826.308,208137.6,49748.057,13740.501,542.755,6737.331,3736643.649,,,
2002,1933130.354,94567.395,702468.428,780064.087,255585.903,53708.749,14491.31,554.831,10354.28,3858452.246,,,
2003,1973736.752,119405.643,665507.561,763732.695,267271.258,53341.088,14424.231,534.001,11187.466,3883185.204,,,
2004,1978300.549,121145.057,725352.448,788528.387,259929.098,53537.453,14810.975,575.155,14143.741,3970555.264,,,
2005,2012873.046,122225.017,774424.398,781986.365,263763.467,54276.81,14691.745,550.294,17810.549,4055422.75,,,
2006,1990511.135,64166.414,830617.578,787218.636,282688.574,54860.621,14568.029,507.706,26589.137,4064702.228,,,
2007,2016455.584,65738.978,910043.145,806424.753,240613.622,55538.578,14637.213,611.793,34449.927,4156744.724,,,
2008,1985801.247,46242.612,894687.475,806208.435,248543.323,55033.612,14839.977,864.315,55363.1,4119387.76,,,
2009,1755904.253,38936.515,931610.788,798854.585,268817.749,54492.734,15008.658,891.179,73886.132,3950330.927,,,
2010,1847290.279,37061.013,999010.021,806968.301,254701.937,56089.367,15219.213,1212.182,94652.246,4125059.9,0.447821444,,
2011,1733430.005,30182.245,1025255.129,790204.367,312934.388,56670.83,15316.068,1817.696,120176.599,4100140.927,,,
2012,1514042.945,23189.542,1237791.76,769331.249,271289.727,57622.166,15562.426,4326.675,140821.703,4047765.26,,,
2013,1581114.716,27164.444,1137688.497,789016.473,263884.35,60858.027,15774.674,9035.62,167839.745,4065964.068,,,
2014,1581710.35,30231.862,1138630.744,797165.982,253193.074,63989.444,15876.941,17691.031,181655.282,4093606.006,,,
2015,1352398.197,28248.749,1346598.808,797177.877,243988.597,63631.878,15917.575,24892.904,190718.548,4077600.939,,,
2016,1239148.654,24204.806,1391114.366,805693.948,261126.026,62760.458,15825.807,36054.121,226992.562,4076674.984,,,
2017,1205835.276,21389.945,1308911.458,804949.635,293838.382,62733.412,15926.774,53286.865,254302.695,4034270.559,,,
2018,1149487.339,25225.618,1482595.431,807084.477,286619.45,61831.924,15967.134,63825.315,272667.454,4178277.344,,,
2019,966148.35,18566.912,1595449.189,809409.262,268446.622,58412.161,16010.586,72234.174,300071.029,4118050.576,0.234613036,,
,,,,,,,,,,,0.213208407,,
,-881141.929,,,,,,,,,,,,
,-0.476991591,,,,,,,,,,,,